"Notes"	"States"	"States Code"	"Disease"	"Disease Code"	"Year"	"Year Code"	Case Count
	"Alabama"	"01"	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2016"	"2016"	1
	"Alabama"	"01"	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2017"	"2017"	1
	"Alabama"	"01"	"Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive"	"10051"	"2017"	"2017"	1
	"Alabama"	"01"	"Arboviral diseases, West Nile virus disease, Neuroinvasive"	"10056"	"2016"	"2016"	12
	"Alabama"	"01"	"Arboviral diseases, West Nile virus disease, Neuroinvasive"	"10056"	"2017"	"2017"	41
	"Alabama"	"01"	"Arboviral diseases, West Nile virus disease, Neuroinvasive"	"10056"	"2018"	"2018"	16
	"Alabama"	"01"	"Arboviral diseases, West Nile virus disease, Non-neuroinvasive"	"10049"	"2016"	"2016"	6
	"Alabama"	"01"	"Arboviral diseases, West Nile virus disease, Non-neuroinvasive"	"10049"	"2017"	"2017"	20
	"Alabama"	"01"	"Arboviral diseases, West Nile virus disease, Non-neuroinvasive"	"10049"	"2018"	"2018"	12
	"Alabama"	"01"	"Babesiosis, Total"	"12010"	"2017"	"2017"	1
	"Alabama"	"01"	"Babesiosis, Confirmed"	"12011"	"2017"	"2017"	1
	"Alabama"	"01"	"Botulism, Total"	"10360"	"2016"	"2016"	1
	"Alabama"	"01"	"Botulism, Infant"	"10540"	"2016"	"2016"	1
	"Alabama"	"01"	"Brucellosis"	"10020"	"2018"	"2018"	1
	"Alabama"	"01"	"Campylobacteriosis"	"11020"	"2016"	"2016"	692
	"Alabama"	"01"	"Campylobacteriosis"	"11020"	"2017"	"2017"	789
	"Alabama"	"01"	"Campylobacteriosis"	"11020"	"2018"	"2018"	783
	"Alabama"	"01"	"Chancroid"	"10273"	"2016"	"2016"	1
	"Alabama"	"01"	"Chlamydia trachomatis infection"	"10274"	"2016"	"2016"	26901
	"Alabama"	"01"	"Chlamydia trachomatis infection"	"10274"	"2017"	"2017"	29935
	"Alabama"	"01"	"Chlamydia trachomatis infection"	"10274"	"2018"	"2018"	28437
	"Alabama"	"01"	"Cryptosporidiosis, Total"	"11580"	"2016"	"2016"	334
	"Alabama"	"01"	"Cryptosporidiosis, Total"	"11580"	"2017"	"2017"	189
	"Alabama"	"01"	"Cryptosporidiosis, Total"	"11580"	"2018"	"2018"	152
	"Alabama"	"01"	"Cryptosporidiosis, Confirmed"	"11582"	"2016"	"2016"	141
	"Alabama"	"01"	"Cryptosporidiosis, Confirmed"	"11582"	"2017"	"2017"	100
	"Alabama"	"01"	"Cryptosporidiosis, Confirmed"	"11582"	"2018"	"2018"	81
	"Alabama"	"01"	"Cryptosporidiosis, Probable"	"11583"	"2016"	"2016"	193
	"Alabama"	"01"	"Cryptosporidiosis, Probable"	"11583"	"2017"	"2017"	89
	"Alabama"	"01"	"Cryptosporidiosis, Probable"	"11583"	"2018"	"2018"	71
	"Alabama"	"01"	"Dengue virus infections, Dengue"	"10680"	"2016"	"2016"	6
	"Alabama"	"01"	"Dengue virus infections, Dengue"	"10680"	"2018"	"2018"	1
	"Alabama"	"01"	"Dengue virus infections, Dengue-like illness"	"11704"	"2018"	"2018"	1
